"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test with empty configuration.","1","test_empty_config","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestEdgeCases","device_handler_test","",""
"Test that model config is skipped when model section doesn't exist.","1","test_model_config_skip_when_missing","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestEdgeCases","device_handler_test","",""
"Tests setting of GCP credentials.","7","test_set_credentials","tests.unit_test.scripts_test","Mon Dec 08 07:06:11 UTC 2025","passed","Mon Dec 08 07:06:11 UTC 2025","","set_gcp_credentials_test","",""
"Test configuration updates for unknown device.","0","test_unknown_device","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestGetDeviceConfigUpdates","device_handler_test","",""
"Test configuration updates for CUDA device.","0","test_cuda_config_updates","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestGetDeviceConfigUpdates","device_handler_test","",""
"Test when MPS is available.","7","test_mps_available","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestGetDeviceCapabilities","device_handler_test","",""
"Tests splitting of sequence.","1","test_split_sequences","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Test positional encoding specified initialisation.","1","test_pos_enc_spec","tests.unit_test.transformer_test","Mon Dec 08 07:06:19 UTC 2025","passed","Mon Dec 08 07:06:19 UTC 2025","","layers_test","",""
"Test the 'predict' command of the instanovo plus cli with a non existing file.","185","test_instanovoplus_model[args0-.ckpt-\\*.yaml, \\*.pt]","tests.unit_test","Mon Dec 08 07:05:51 UTC 2025","passed","Mon Dec 08 07:05:51 UTC 2025","","cli_test","",""
"Test knapsack beam search decoder initialisation.","4305","test_init","tests.unit_test.inference_test","Mon Dec 08 07:06:12 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","knapsack_beam_search_test","",""
"Test diffusion model inference.","2160","test_diffusion_model_inference_refinement","tests.integration","Mon Dec 08 07:05:27 UTC 2025","passed","Mon Dec 08 07:05:29 UTC 2025","","instanovoplus_model_test","",""
"Test residue decoder.","0","test_decoder","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","residues_test","",""
"Test transformer inference for mzxml input.","765","test_mzxml_preds","tests.unit_test.transformer_test","Mon Dec 08 07:05:37 UTC 2025","passed","Mon Dec 08 07:05:37 UTC 2025","","predict_test","",""
"Test training an InstaNovo model and doing inference end-to-end.","0","test_train_model","tests.integration","Mon Dec 08 07:06:01 UTC 2025","skipped","Mon Dec 08 07:06:01 UTC 2025","","instanovo_model_train_test","",""
"Tests calculation of precision and recall at peptide- and AA-level.","1","test_compute_precision_recall","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Test spectrum data frame parquet creation and initialisation.","11","test_parquet_init","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test residue sequence mass.","1","test_get_sequence_mass","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","residues_test","",""
"Tests mass error calculation.","1","test_calc_mass_error","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
