"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the 'predict' command of the instanovo cli with a file with a non-supported suffix.","176","test_instanovo_model_suffix[args0]","tests.unit_test","Mon Dec 08 07:05:57 UTC 2025","passed","Mon Dec 08 07:05:58 UTC 2025","","cli_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting data path.","179","test_nonexisting_data_path[args1]","tests.unit_test","Mon Dec 08 07:05:57 UTC 2025","passed","Mon Dec 08 07:05:57 UTC 2025","","cli_test","",""
"Test full workflow on a system with MPS.","5","test_full_workflow_mps_system","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestIntegration","device_handler_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config path.","9","test_predict_nonexisting_config_path[cli1]","tests.unit_test","Mon Dec 08 07:06:01 UTC 2025","passed","Mon Dec 08 07:06:01 UTC 2025","","cli_test","",""
"Test the version command.","23","test_version_command","tests.unit_test","Mon Dec 08 07:05:59 UTC 2025","passed","Mon Dec 08 07:06:00 UTC 2025","","cli_test","",""
"Test transformer inference for parquet input.","846","test_parquet_preds","tests.unit_test.transformer_test","Mon Dec 08 07:05:42 UTC 2025","passed","Mon Dec 08 07:05:43 UTC 2025","","predict_test","",""
"Test getting local path for missing s3 file using S3FileHandler.","3","test_s3_file_handler_get_local_path_missing","tests.unit_test.utils_test","Mon Dec 08 07:06:12 UTC 2025","passed","Mon Dec 08 07:06:12 UTC 2025","","s3_test","",""
"Test residue set initialisation.","0","test_init","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","residues_test","",""
"Test data handler error catching.","2","test_errors","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test CLI skips download when target directory exists with matching record ID.","2","test_cli_skips_when_directory_exists","tests.scripts","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","TestMainCommand","get_zenodo_record_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config path.","10","test_predict_nonexisting_config_path[cli2]","tests.unit_test","Mon Dec 08 07:06:01 UTC 2025","passed","Mon Dec 08 07:06:01 UTC 2025","","cli_test","",""
"Test residue encoder.","0","test_encoder","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","residues_test","",""
"Test the 'diffusion predict' command of the instanovo_cli.","3233","test_predict_diffusion","tests.unit_test","Mon Dec 08 07:05:54 UTC 2025","passed","Mon Dec 08 07:05:57 UTC 2025","","cli_test","",""
"Test the 'predict' command of the instanovo plus cli with a non existing file.","176","test_instanovoplus_model[args0-.yaml-\\*.ckpt, \\*.pt]","tests.unit_test","Mon Dec 08 07:06:00 UTC 2025","passed","Mon Dec 08 07:06:00 UTC 2025","","cli_test","",""
"Test check_device with None config.","1","test_check_device_none_config","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestCheckDeviceBackwardCompatibility","device_handler_test","",""
"Test residue mass.","0","test_get_mass","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","residues_test","",""
"Test the 'predict' command of the instanovo_cli with no output path.","172","test_no_output_path[args2]","tests.unit_test","Mon Dec 08 07:06:01 UTC 2025","passed","Mon Dec 08 07:06:01 UTC 2025","","cli_test","",""
"Test when both CUDA and MPS are available.","5","test_both_available","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestGetDeviceCapabilities","device_handler_test","",""
"Test full workflow on a CPU-only system.","4","test_full_workflow_cpu_only_system","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestIntegration","device_handler_test","",""
"Test the 'predict' command of the instanovo_cli.","1030","test_predict_transformer_pipeline","tests.unit_test","Mon Dec 08 07:05:58 UTC 2025","passed","Mon Dec 08 07:05:59 UTC 2025","","cli_test","",""
"Test the 'predict' command of the instanovo_cli.","1881","test_predict","tests.unit_test","Mon Dec 08 07:05:51 UTC 2025","passed","Mon Dec 08 07:05:53 UTC 2025","","cli_test","",""
"Test getting local path for s3 file using S3FileHandler.","7","test_s3_file_handler_get_local_path","tests.unit_test.utils_test","Mon Dec 08 07:06:12 UTC 2025","passed","Mon Dec 08 07:06:12 UTC 2025","","s3_test","",""
"Tests novor amino acid match algorithm.","0","test_novor_match","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Test multi scale peak embedding initialisation.","1","test_peak_embed","tests.unit_test.transformer_test","Mon Dec 08 07:06:19 UTC 2025","passed","Mon Dec 08 07:06:19 UTC 2025","","layers_test","",""
"Test applying config for CPU device.","0","test_apply_config_cpu_device","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Test residue sequence length.","1","test_length","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","residues_test","",""
"Test applying config with specified device.","1","test_apply_config_specified_device","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Test peptide tokenizer.","1","test_tokenize","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","residues_test","",""
"Test transformer model inference.","837","test_transformer_model_inference","tests.integration","Mon Dec 08 07:06:18 UTC 2025","passed","Mon Dec 08 07:06:19 UTC 2025","","instanovo_model_test","",""
"Test CLI with different parameters.","8","test_cli_with_different_parameters[https://zenodo.org/records/12345/files/test.zip-other.zip-./other]","tests.scripts","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","","get_zenodo_record_test","",""
"Tests recall calculation at specified FDR.","10","test_find_recall_at_fdr","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Test configuration updates for MPS device.","0","test_mps_config_updates","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestGetDeviceConfigUpdates","device_handler_test","",""
"Test full workflow on a system with CUDA.","4","test_full_workflow_cuda_system","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestIntegration","device_handler_test","",""
"Test residue detokenizer.","0","test_detokenize","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","residues_test","",""
"Test check_device without config parameter.","2","test_check_device_no_config","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestCheckDeviceBackwardCompatibility","device_handler_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting data path.","172","test_nonexisting_data_path[args0]","tests.unit_test","Mon Dec 08 07:05:49 UTC 2025","passed","Mon Dec 08 07:05:49 UTC 2025","","cli_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config name.","17","test_predict_nonexisting_config_name[cli1]","tests.unit_test","Mon Dec 08 07:05:49 UTC 2025","passed","Mon Dec 08 07:05:49 UTC 2025","","cli_test","",""
"Test when CUDA is available.","6","test_cuda_available","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestGetDeviceCapabilities","device_handler_test","",""
"Test incorrect file type error catching.","1","test_incorrect_file_error","tests.unit_test.scripts_test","Mon Dec 08 07:06:19 UTC 2025","passed","Mon Dec 08 07:06:19 UTC 2025","","update_ipc_format_test","",""
"Test transformer inference with greedy search.","819","test_preds_with_greedy","tests.unit_test.transformer_test","Mon Dec 08 07:05:39 UTC 2025","passed","Mon Dec 08 07:05:40 UTC 2025","","predict_test","",""
"Test transformer inference with beam search.","835","test_preds_with_beam","tests.unit_test.transformer_test","Mon Dec 08 07:05:41 UTC 2025","passed","Mon Dec 08 07:05:42 UTC 2025","","predict_test","",""
"Test transformer inference when dropping a row.","1772","test_row_drop","tests.unit_test.transformer_test","Mon Dec 08 07:05:37 UTC 2025","passed","Mon Dec 08 07:05:39 UTC 2025","","predict_test","",""
"Test when neither CUDA nor MPS are available.","5","test_neither_available","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestGetDeviceCapabilities","device_handler_test","",""
"Test loading an InstaNovo+ model and doing inference end-to-end.","4283","test_model","tests.integration","Mon Dec 08 07:05:32 UTC 2025","passed","Mon Dec 08 07:05:37 UTC 2025","","instanovoplus_model_test","",""
"Test the 'predict' command of the instanovo_cli with no data path.","178","test_no_data_path[args1]","tests.unit_test","Mon Dec 08 07:06:01 UTC 2025","passed","Mon Dec 08 07:06:01 UTC 2025","","cli_test","",""
"Test the neptune summary writer function.","5","test_neptune_summary_writer","tests.unit_test.transformer_test","Mon Dec 08 07:04:38 UTC 2025","passed","Mon Dec 08 07:04:38 UTC 2025","","train_test","",""
"Test the 'predict' command of the instanovo_cli.","1018","test_predict_transformer","tests.unit_test","Mon Dec 08 07:06:00 UTC 2025","passed","Mon Dec 08 07:06:01 UTC 2025","","cli_test","",""
"Test get length.","1","test_length","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test function that checks if a sequence matches the precursor mass within some tolerance.","2","test_precursor_match","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Test residue set remapping update.","0","test_update_remapping","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","residues_test","",""
"Test mgf to parquet conversion with lazy loading.","12","test_mgf_to_parquet","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test positional encoding default initialisation.","1","test_pos_enc","tests.unit_test.transformer_test","Mon Dec 08 07:06:19 UTC 2025","passed","Mon Dec 08 07:06:19 UTC 2025","","layers_test","",""
"Test the 'predict' command of the instanovo_cli with different input files.","1908","test_transformer_predict","tests.unit_test","Mon Dec 08 07:05:49 UTC 2025","passed","Mon Dec 08 07:05:51 UTC 2025","","cli_test","",""
"Test when MPS is requested but not available.","5","test_mps_not_available_but_requested","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestValidateAndConfigureDevice","device_handler_test","",""
"Test mgf to parquet conversion where no scan number column is present.","11","test_mgf_to_parquet_no_scan_number","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test the 'predict' command of the instanovo plus cli with a non existing file.","174","test_instanovoplus_model[args0-.pt-\\*.ckpt, \\*.yaml]","tests.unit_test","Mon Dec 08 07:05:53 UTC 2025","passed","Mon Dec 08 07:05:54 UTC 2025","","cli_test","",""
"Test transformer inference with knapsack beam search.","929","test_preds_with_knapsack","tests.unit_test.transformer_test","Mon Dec 08 07:05:43 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","predict_test","",""
"Test the main command help text is displayed.","16","test_main_help[args2-Run predictions or train with only the transformer-based InstaNovo model.]","tests.unit_test","Mon Dec 08 07:05:58 UTC 2025","passed","Mon Dec 08 07:05:58 UTC 2025","","cli_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting data path.","173","test_nonexisting_data_path[args2]","tests.unit_test","Mon Dec 08 07:05:54 UTC 2025","passed","Mon Dec 08 07:05:54 UTC 2025","","cli_test","",""
"Test that CUDA is preferred over MPS when both are available.","1","test_cuda_priority_over_mps","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestDetectDevice","device_handler_test","",""
"Tests conversion of local directory to s3 output path using S3FileHandler.","2","test_s3_file_handler_convert_to_s3_output","tests.unit_test.utils_test","Mon Dec 08 07:06:12 UTC 2025","passed","Mon Dec 08 07:06:12 UTC 2025","","s3_test","",""
"Test the 'predict' command of the instanovo_cli with no output path.","608","test_no_output_path[args1]","tests.unit_test","Mon Dec 08 07:05:58 UTC 2025","passed","Mon Dec 08 07:05:58 UTC 2025","","cli_test","",""
"Test InstaNovo model initialisation and methods.","17419","test_model_init","tests.unit_test.transformer_test","Mon Dec 08 07:05:09 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","","model_test","",""
"Test spectrum data frame basic initialisation.","1","test_init","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test main function with different parameters.","6","test_main_with_parameters","tests.scripts","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","TestMainCommand","get_zenodo_record_test","",""
"Test the 'predict' command of the instanovo plus cli with a non existing file.","174","test_instanovoplus_model[args0-.txt-\\*.ckpt, \\*.yaml, \\*.pt]","tests.unit_test","Mon Dec 08 07:05:58 UTC 2025","passed","Mon Dec 08 07:05:58 UTC 2025","","cli_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting instanovo model.","182","test_model[args2-InstaNovo]","tests.unit_test","Mon Dec 08 07:05:53 UTC 2025","passed","Mon Dec 08 07:05:53 UTC 2025","","cli_test","",""
"Test spectrum dataset error catching.","15","test_spectrum_errors","tests.unit_test.transformer_test","Mon Dec 08 07:06:11 UTC 2025","passed","Mon Dec 08 07:06:11 UTC 2025","","dataset_test","",""
"Test the main command help text is displayed.","22","test_main_help[args0-Run predictions with InstaNovo and optionally with InstaNovo+.]","tests.unit_test","Mon Dec 08 07:05:58 UTC 2025","passed","Mon Dec 08 07:05:58 UTC 2025","","cli_test","",""
"Test spectrum data frame specified initialisation.","2","test_spec_init","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test spectrum dataset collate function.","1","test_dataset_collate","tests.unit_test.transformer_test","Mon Dec 08 07:06:11 UTC 2025","passed","Mon Dec 08 07:06:11 UTC 2025","","dataset_test","",""
"Test the main function call of train.","8702","test_main","tests.unit_test.diffusion_test","Mon Dec 08 07:06:01 UTC 2025","passed","Mon Dec 08 07:06:10 UTC 2025","","train_test","",""
"Test the transformer training function with different run configurations.","30187","test_train","tests.unit_test.transformer_test","Mon Dec 08 07:04:38 UTC 2025","passed","Mon Dec 08 07:05:09 UTC 2025","","train_test","",""
"Tests peptide matches calculation.","1","test_get_peptide_matches","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Test greedy decoder initialisation.","1","test_greedy_decoder","tests.unit_test.inference_test","Mon Dec 08 07:05:09 UTC 2025","passed","Mon Dec 08 07:05:09 UTC 2025","","greedy_search_test","",""
"Test handling of request exception during download.","4","test_get_zenodo_request_exception","tests.scripts","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","TestZenodoDownload","get_zenodo_record_test","",""
"Test greedy decoder decode function.","74","test_decode","tests.unit_test.inference_test","Mon Dec 08 07:05:09 UTC 2025","passed","Mon Dec 08 07:05:09 UTC 2025","","greedy_search_test","",""
"Test spectrum data frame lazy loading.","14","test_lazy","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test successful execution of the CLI command.","8","test_cli_successful_execution","tests.scripts","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","TestMainCommand","get_zenodo_record_test","",""
"Test handling of a bad zip file.","2","test_unzip_zenodo_bad_zipfile","tests.scripts","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","TestZenodoDownload","get_zenodo_record_test","",""
"Test mzml to parquet conversion.","15","test_mzml_to_parquet","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test configuration updates for CPU device.","1","test_cpu_config_updates","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestGetDeviceConfigUpdates","device_handler_test","",""
"Test when CUDA is not available and force_cpu is False.","4","test_cuda_not_available_no_force_cpu","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestValidateAndConfigureDevice","device_handler_test","",""
"Test downloading file from s3 using S3FileHandler.","6","test_s3_file_handler_download","tests.unit_test.utils_test","Mon Dec 08 07:06:11 UTC 2025","passed","Mon Dec 08 07:06:11 UTC 2025","","s3_test","",""
"Test fetching item at specified index.","4","test_get_item","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test multi scale peak embedding errors.","3","test_peak_embed_errors","tests.unit_test.transformer_test","Mon Dec 08 07:06:19 UTC 2025","passed","Mon Dec 08 07:06:19 UTC 2025","","layers_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting instanovo model.","179","test_model[args1-InstaNovo]","tests.unit_test","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","","cli_test","",""
"Test training an InstaNovo model and doing inference end-to-end.","0","test_train_model","tests.integration","Mon Dec 08 07:05:26 UTC 2025","skipped","Mon Dec 08 07:05:26 UTC 2025","","instanovoplus_model_train_test","",""
"Test the 'predict' command of the instanovo_cli with no data path.","173","test_no_data_path[args0]","tests.unit_test","Mon Dec 08 07:05:54 UTC 2025","passed","Mon Dec 08 07:05:54 UTC 2025","","cli_test","",""
"Test uploading local file to s3 using S3FileHandler.","6","test_s3_file_handler_upload","tests.unit_test.utils_test","Mon Dec 08 07:06:12 UTC 2025","passed","Mon Dec 08 07:06:12 UTC 2025","","s3_test","",""
"Test device detection when neither CUDA nor MPS are available.","1","test_detect_cpu","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestDetectDevice","device_handler_test","",""
"Test CLI with different parameters.","18","test_cli_with_different_parameters[https://zenodo.org/records/17816199/files/custom.zip-custom.zip-./custom]","tests.scripts","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","","get_zenodo_record_test","",""
"Test spectrum dataset default initialisation.","29","test_dataset_default_init","tests.unit_test.transformer_test","Mon Dec 08 07:06:11 UTC 2025","passed","Mon Dec 08 07:06:11 UTC 2025","","dataset_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config path.","17","test_predict_nonexisting_config_path[cli0]","tests.unit_test","Mon Dec 08 07:05:49 UTC 2025","passed","Mon Dec 08 07:05:49 UTC 2025","","cli_test","",""
"Test knapsack beam search decoder loader.","229","test_from_file","tests.unit_test.inference_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","knapsack_beam_search_test","",""
"Test spectrum dataset specified initialisation.","597","test_dataset_spec_init","tests.unit_test.transformer_test","Mon Dec 08 07:06:10 UTC 2025","passed","Mon Dec 08 07:06:11 UTC 2025","","dataset_test","",""
"Test knapsack creation, loading, and functionality.","4329","test_knapsack","tests.integration","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","","knapsack_test","",""
"Test device detection when CUDA is available.","2","test_detect_cuda","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestDetectDevice","device_handler_test","",""
"Test spectrum preprocessing.","623","test_process_peaks","tests.unit_test.transformer_test","Mon Dec 08 07:06:11 UTC 2025","passed","Mon Dec 08 07:06:11 UTC 2025","","dataset_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config name.","25","test_predict_nonexisting_config_name[cli0]","tests.unit_test","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","","cli_test","",""
"Test mzxml to parquet conversion.","14","test_mzxml_to_parquet","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config name.","18","test_predict_nonexisting_config_name[cli2]","tests.unit_test","Mon Dec 08 07:05:58 UTC 2025","passed","Mon Dec 08 07:05:58 UTC 2025","","cli_test","",""
"Test diffusion model inference.","3040","test_diffusion_model_inference","tests.integration","Mon Dec 08 07:05:29 UTC 2025","passed","Mon Dec 08 07:05:32 UTC 2025","","instanovoplus_model_test","",""
"Test with configuration that has existing values.","1","test_config_with_existing_values","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestEdgeCases","device_handler_test","",""
"Test peptide metric class initialisation.","1","test_init_metrics","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Test the 'predict' command of the instanovo_cli with no output path.","177","test_no_output_path[args0]","tests.unit_test","Mon Dec 08 07:05:51 UTC 2025","passed","Mon Dec 08 07:05:51 UTC 2025","","cli_test","",""
"Test data checker.","1","test_check_type_spec","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test linear warmup scheduler.","3988","test_warmup_scheduler","tests.unit_test.transformer_test","Mon Dec 08 07:04:34 UTC 2025","passed","Mon Dec 08 07:04:38 UTC 2025","","train_test","",""
"Test code to update an ipc file from the old format to the new format.","9","test_update_ipc_format","tests.unit_test.scripts_test","Mon Dec 08 07:06:19 UTC 2025","passed","Mon Dec 08 07:06:19 UTC 2025","","update_ipc_format_test","",""
"Tests converting and saving an input file to a parquet file using the CLI.","33","test_convert_command","tests.unit_test.scripts_test","Mon Dec 08 07:06:01 UTC 2025","passed","Mon Dec 08 07:06:01 UTC 2025","","convert_to_sdf_test","",""
"Test getting local path for missing s3 file with missing_ok=True using S3FileHandler.","3","test_s3_file_handler_get_local_path_missing_ok","tests.unit_test.utils_test","Mon Dec 08 07:06:12 UTC 2025","passed","Mon Dec 08 07:06:12 UTC 2025","","s3_test","",""
"Test positional encoding errors.","1","test_pos_enc_errors","tests.unit_test.transformer_test","Mon Dec 08 07:06:19 UTC 2025","passed","Mon Dec 08 07:06:19 UTC 2025","","layers_test","",""
"Test when MPS is requested but force_cpu is True.","4","test_mps_requested_but_force_cpu_set","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestValidateAndConfigureDevice","device_handler_test","",""
"Test successful download of a Zenodo record.","4","test_get_zenodo_success","tests.scripts","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","TestZenodoDownload","get_zenodo_record_test","",""
